Avatar,279322510,191273576.7,24096524,12048262,2,59814,28903,92,35505,11315,3285828714
Pirates of the Caribbean: At World's End,365540529,530436161.2,77782399,1808893,43,7298,168,57,62,20,1170948162
Spectre,261294759,136068400.4,749671390,28833515,26,67904,2545,111,373,106,939247591
The Dark Knight Rises,275231699,216944903.4,2436329379,73828163,33,231960,6886,76,7610,1317,1194438526
John Carter,286240967,156285100.7,126624839,11511349,11,14134,1234,85,1953,570,312816349
Spider-Man 3,314364855,188793013.8,12368280,3092070,4,8984,1960,17,16,2,1085498952
Tangled,301604092,193742944.9,48526905,9705381,5,10937,1991,117,22032,4597,686491440
Avengers: Age of Ultron,298622582,207777093.3,5132853648,131611632,39,811963,20506,109,1775,513,1498875999
Harry Potter and the Half-Blood Prince,294643998,561436229.4,274147168,8567099,32,24229,741,120,1020,227,1100741886
Batman v Superman: Dawn of Justice,263205632,108702515.3,1740238694,102366982,17,644657,36920,118,2539,701,919388005
Superman Returns,338198098,54799420.92,17631581,1602871,11,6058,517,102,12045,7896,489862649
Quantum of Solace,234772337,212679360.2,36984744,2054708,18,4039,217,94,5160,857,687989449
Pirates of the Caribbean: Dead Man's Chest,250517109,447354440,22241601,823763,27,1831,66,55,77,24,1334830078
The Lone Ranger,276587520,136746142.7,193114499,10163921,19,21943,1129,109,2607,675,96848921
Man of Steel,244047812,185869866.4,1697547880,84877394,20,303529,14604,119,6068,1813,718959992
The Chronicles of Narnia: Prince Caspian,264118880,410244332.7,71931366,3996187,18,8481,466,57,14,10,492612716
The Avengers,242203895,183013695,6085865874,114827658,53,2711111,50308,104,1348,555,1672922021
Pirates of the Caribbean: On Stranger Tides,427137578,300676065.8,628853680,17967248,35,46750,1316,47,95,13,1175430687
Men in Black 3,247708529,176333502.6,752842840,18821071,40,72878,1819,105,996,325,687007799
The Hobbit: The Battle of the Five Armies,266893933,666041308.2,1803927816,50109106,36,220761,6092,80,147,72,1020623523
The Amazing Spider-Man,236699261,185364294.7,94264032,15710672,6,68809,9985,83,1587,299,828134593
Robin Hood,232003148,174222635.9,163053583,14823053,11,51388,4487,115,1400,202,360381556
The Hobbit: The Desolation of Smaug,271164235,693002946,641007960,21366932,30,91380,2954,84,2540,350,1039535213
The Golden Compass,219324318,202510415.9,22093752,1841146,12,4426,355,117,9669,2346,453556431
King Kong,267582335,197346048.2,257902995,17193533,15,70636,4508,92,579,109,710967556
Captain America: Civil War,263205632,131468333.4,4322052345,110821855,39,795184,20309,114,265,49,1214224954
Battleship,230093700,125161034.1,158514516,13209543,12,21257,1730,97,514,106,333608876
Jurassic World,159976383,135375552.3,2123017542,117945419,18,449697,24227,117,8773,1553,1614192432
