budget,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,money_now,revenue_now,budget_now,cast_score
237000000,19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2009-12-10,2787965087,162,Released,"Enter the World of Pandora.",7.2,11800,,3285828714.0,279322510.0,191273576.680272
300000000,285,en,"Pirates of the Caribbean: At World's End","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,2007-05-19,961000000,169,Released,"At the end of the world, the adventure begins.",6.9,4500,,1170948162.0,365540529.0,530436161.159933
245000000,206647,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,2015-10-26,880674609,148,Released,"A Plan No One Escapes",6.3,4466,,939247591.0,261294759.0,136068400.445117
250000000,49026,en,"The Dark Knight Rises","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,2012-07-16,1084939099,165,Released,"The Legend Ends",7.6,9106,,1194438526.0,275231699.0,216944903.436702
260000000,49529,en,"John Carter","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,2012-03-07,284139100,132,Released,"Lost in our world, found in another.",6.1,2124,,312816349.0,286240967.0,156285100.656264
258000000,559,en,"Spider-Man 3","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,2007-05-01,890871626,139,Released,"The battle within.",5.9,3576,,1085498952.0,314364855.0,188793013.805271
260000000,38757,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,2010-11-24,591794936,100,Released,"They're taking adventure to new lengths.",7.4,3330,,686491440.0,301604092.0,193742944.920781
280000000,99861,en,"Avengers: Age of Ultron","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,2015-04-22,1405403694,141,Released,"A New Age Has Come.",7.3,6767,,1498875999.0,298622582.0,207777093.30198
250000000,767,en,"Harry Potter and the Half-Blood Prince","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,2009-07-07,933959197,153,Released,"Dark Secrets Revealed",7.4,5293,,1100741886.0,294643998.0,561436229.426655
250000000,209112,en,"Batman v Superman: Dawn of Justice","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,2016-03-23,873260194,151,Released,"Justice or revenge",5.7,7004,,919388005.0,263205632.0,108702515.31068
